trace_name,split,label
B933.PB_20141125091226_EV,train,earthquake
OHAK.AT_20120622085530_EV,train,earthquake
B081.PB_20130622211612_EV,train,earthquake
AAM1.ZQ_20090227005644_EV,train,earthquake
RYN.NN_20150923035049_EV,train,earthquake
SKN.AK_20120930185924_EV,train,earthquake
HEL.SN_20160101064615_EV,train,earthquake
MSC.CI_20130701033646_EV,train,earthquake
CRY.AZ_20151020090149_EV,train,earthquake
EMU.UU_20151006132718_EV,train,earthquake
B917.PB_20110129210342_EV,train,earthquake
B918.PB_20141211174449_EV,train,earthquake
RRX.CI_20140422100004_EV,train,earthquake
PNT.NN_20180715112215_EV,train,earthquake
GDXB.NC_20150107051807_EV,train,earthquake
BOR.CI_20100615063351_EV,train,earthquake
B093.PB_20101126234314_EV,train,earthquake
BOR.CI_20130901071632_EV,train,earthquake
O03E.TA_20150619181444_EV,train,earthquake
AHUD.HV_20170630150127_EV,train,earthquake
MPK.NN_20150803004807_EV,train,earthquake
CRG.CI_20160802051050_EV,train,earthquake
PFO.AZ_20130909190340_EV,train,earthquake
BZN.AZ_20171019232902_EV,train,earthquake
CCB.AK_20120228012613_EV,train,earthquake
CLC.CI_20150825120503_EV,train,earthquake
B916.PB_20130905142043_EV,train,earthquake
SGR.SN_20151119095424_EV,train,earthquake
KAN08.GS_20160904114424_EV,train,earthquake
ISLE.AK_20180313214754_EV,train,earthquake
KNK.AK_20110710060852_EV,train,earthquake
B093.PB_20130326184620_EV,train,earthquake
TYM.SN_20170612115052_EV,train,earthquake
KVN.NN_20170216013943_EV,train,earthquake
PAH.NN_20140131083152_EV,train,earthquake
DSP.NN_20180204223123_EV,train,earthquake
GDXB.NC_20110608173447_EV,train,earthquake
YHH.WY_20160915211642_EV,train,earthquake
WAT7.AK_20180610134204_EV,train,earthquake
BAR.CI_20121227143751_EV,train,earthquake
B082.PB_20120316061231_EV,train,earthquake
BLA2.CI_20180801003658_EV,train,earthquake
OMMB.NN_20140413011610_EV,train,earthquake
BBR.CI_20180324200847_EV,train,earthquake
B082.PB_20150116213733_EV,train,earthquake
B082.PB_20171109034513_EV,train,earthquake
ROTZ.BW_20081010111841_EV,train,earthquake
VRUT.UU_20160124024822_EV,train,earthquake
B093.PB_20130317115500_EV,train,earthquake
GDXB.NC_20120304210532_EV,train,earthquake
B086.PB_20080609181940_EV,train,earthquake
J04D.TA_20140307133553_EV,train,earthquake
WVA.NN_20140128162735_EV,train,earthquake
DESD.HV_20170202193445_EV,train,earthquake
AKH.GO_20120805010911_EV,train,earthquake
VRDI.AK_20180318081426_EV,train,earthquake
SWD.AK_20120218025112_EV,train,earthquake
B065.PB_20140216233820_EV,train,earthquake
B921.PB_20150512212605_EV,train,earthquake
CBR.NC_20180214103610_EV,train,earthquake
B918.PB_20140109140954_EV,train,earthquake
B082.PB_20150805182235_EV,train,earthquake
MRBL.UW_20160330013027_EV,train,earthquake
B087.PB_20160718141729_EV,train,earthquake
B084.PB_20110825152430_EV,train,earthquake
SCZ.BK_20141231201103_EV,train,earthquake
POB2.CI_20150912180248_EV,train,earthquake
B081.PB_20140429165920_EV,train,earthquake
MONP2.AZ_20150901033552_EV,train,earthquake
RDSO.AV_20171217201237_EV,train,earthquake
SNZO.IU_20030216072632_EV,train,earthquake
DANT.BK_20170818044814_EV,train,earthquake
RC01.AK_20120523093603_EV,train,earthquake
CNP.AK_20170418003344_EV,train,earthquake
B084.PB_20140406232459_EV,train,earthquake
N12A.TA_20080301040521_EV,train,earthquake
B046.PB_20150416060812_EV,train,earthquake
KAN08.GS_20151010145449_EV,train,earthquake
GO02.C_20130720020640_EV,train,earthquake
BOR.CI_20160621141938_EV,train,earthquake
RYN.NN_20111121094321_EV,train,earthquake
GDXB.NC_20150430060418_EV,train,earthquake
RC01.AK_20041001124022_EV,train,earthquake
GDXB.NC_20120407130714_EV,train,earthquake
B082.PB_20110628143803_EV,train,earthquake
GOAT.AK_20131031025638_EV,train,earthquake
LHV.NN_20170329092227_EV,train,earthquake
GDXB.NC_20120118205631_EV,train,earthquake
VA03.C1_20140607135553_EV,train,earthquake
MOD.BK_20150226180459_EV,train,earthquake
ARSB.KR_20121030011032_EV,train,earthquake
B084.PB_20110709011037_EV,train,earthquake
B944.PB_20170917053412_EV,train,earthquake
GHO.AK_20111010113744_EV,train,earthquake
